"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          19,      -5.035287513,      -3.918896398,      -4.183718466,      -3.156307305,      -1.763710141,      -1.312718533,       2.739951211,               0.5,      0.1146149215,      0.4719254329,                 0,                 0,                 0,      0.2386073468,     0.08141587299,      0.4787709787,                 0,       4.117486858
          0,           0,          20,      -5.178979413,      -4.026409284,      -4.302034041,      -3.256030153,      -1.852087746,      -1.392648194,       2.537502253,               0.5,      0.1148275448,      0.4730467619,                 0,                 0,                 0,      0.2392337027,     0.08154975842,      0.4799044081,                 0,       4.119627941
          0,           0,          21,      -5.313112542,      -4.121437703,      -4.405509949,      -3.343670485,      -1.932607045,      -1.430206939,       2.375291063,               0.5,      0.1149744356,      0.4738073708,                 0,                 0,                 0,      0.2396631464,     0.08164323405,      0.4806734107,                 0,       4.120980183
          0,           0,          22,      -5.428585563,      -4.206478567,       -4.49714677,      -3.422938084,      -2.007939236,      -1.444468635,       2.249591241,               0.5,      0.1150761274,       0.474322834,                 0,                 0,                 0,      0.2399574262,     0.08170872124,       0.481194712,                 0,       4.121817831
          0,           0,          23,      -5.531413917,      -4.284480459,      -4.580841542,      -3.496112592,      -2.079079088,      -1.448900549,       2.145170937,               0.5,       0.115146658,      0.4746716118,                 0,                 0,                 0,      0.2401588595,     0.08175475045,      0.4815475601,                 0,       4.122322091
          0,           0,          24,      -5.624015723,       -4.35704302,      -4.657768776,      -3.564960721,      -2.146586865,       -1.44967489,       2.049037813,               0.5,      0.1151956515,        0.47490699,                 0,                 0,                 0,      0.2402964659,     0.08178720549,      0.4817857826,                 0,       4.122612129
          0,           0,          25,      -5.706472848,      -4.425524508,      -4.729633278,      -3.630625687,      -2.211427888,      -1.449130549,       1.960195448,               0.5,      0.1152297303,      0.4750652226,                 0,                 0,                 0,      0.2403901846,      0.0818101635,      0.4819460069,                 0,       4.122766073
          0,           0,          26,        -5.7809547,      -4.490959663,      -4.797792439,      -3.693881982,      -2.274202463,      -1.448074325,       1.890792353,               0.5,      0.1152534632,      0.4751710033,                 0,                 0,                 0,      0.2404537345,     0.08182645968,      0.4820531855,                 0,       4.122834927
          0,           0,          27,       -5.84966341,      -4.554087316,      -4.863176525,      -3.755272845,      -2.335345032,      -1.446744805,       1.830777959,               0.5,      0.1152700092,      0.4752411637,                 0,                 0,                 0,      0.2404965628,     0.08183807128,      0.4821243291,                 0,       4.122851789
          0,           0,          28,      -5.914179162,      -4.615423079,      -4.926428998,      -3.815172975,      -2.395173478,      -1.445163524,       1.777710503,               0.5,      0.1152815565,      0.4752871798,                 0,                 0,                 0,      0.2405251785,     0.08184638056,      0.4821710387,                 0,       4.122837981
          0,           0,          29,      -5.975701788,      -4.675321696,      -4.987985732,       -3.87388061,      -2.453906234,      -1.443269386,       1.730402687,               0.5,      0.1152896231,      0.4753168769,                 0,                 0,                 0,      0.2405440675,     0.08185235594,      0.4822012262,                 0,       4.122807101
          0,           0,          30,      -6.035108906,      -4.734064201,      -5.048186251,      -3.931618632,      -2.511739699,      -1.440973035,       1.688479517,               0.5,      0.1152952635,      0.4753355888,                 0,                 0,                 0,      0.2405563208,     0.08185667726,      0.4822202859,                 0,       4.122767706
          0,           0,          31,      -6.093029461,      -4.791862319,      -5.107281631,      -3.988559005,      -2.568820017,      -1.438420888,       1.650263359,               0.5,      0.1152992109,      0.4753469482,                 0,                 0,                 0,      0.2405640672,     0.08185982271,       0.482231893,                 0,       4.122725077
