test_airfoil
  1.000000  0.002000
  0.999605  0.002051
  0.998419  0.002202
  0.996446  0.002454
  0.993688  0.002805
  0.990149  0.003255
  0.985835  0.003800
  0.980752  0.004439
  0.974910  0.005170
  0.968317  0.005990
  0.960983  0.006894
  0.952920  0.007880
  0.944141  0.008944
  0.934660  0.010081
  0.924492  0.011287
  0.913652  0.012557
  0.902158  0.013885
  0.890029  0.015267
  0.877282  0.016697
  0.863939  0.018168
  0.850021  0.019676
  0.835549  0.021213
  0.820547  0.022773
  0.805038  0.024351
  0.789046  0.025938
  0.772597  0.027530
  0.755718  0.029118
  0.738434  0.030697
  0.720773  0.032259
  0.702763  0.033799
  0.684432  0.035308
  0.665810  0.036781
  0.646925  0.038212
  0.627808  0.039593
  0.608489  0.040919
  0.588999  0.042184
  0.569368  0.043381
  0.549627  0.044505
  0.529808  0.045551
  0.509941  0.046514
  0.490059  0.047388
  0.470192  0.048168
  0.450373  0.048852
  0.430632  0.049434
  0.411001  0.049910
  0.391511  0.050279
  0.372192  0.050536
  0.353075  0.050679
  0.334190  0.050705
  0.315568  0.050614
  0.297237  0.050403
  0.279227  0.050072
  0.261566  0.049619
  0.244282  0.049045
  0.227403  0.048350
  0.210954  0.047535
  0.194962  0.046600
  0.179453  0.045547
  0.164451  0.044378
  0.149979  0.043094
  0.136061  0.041700
  0.122718  0.040197
  0.109971  0.038590
  0.097842  0.036881
  0.086348  0.035075
  0.075508  0.033176
  0.065340  0.031190
  0.055859  0.029120
  0.047080  0.026973
  0.039017  0.024755
  0.031683  0.022470
  0.025090  0.020125
  0.019248  0.017727
  0.014165  0.015282
  0.009851  0.012796
  0.006312  0.010276
  0.003554  0.007730
  0.001581  0.005163
  0.000395  0.002584
  0.000000  0.000013
  0.000395  -0.002584
  0.001581  -0.005163
  0.003554  -0.007730
  0.006312  -0.010276
  0.009851  -0.012796
  0.014165  -0.015282
  0.019248  -0.017727
  0.025090  -0.020125
  0.031683  -0.022470
  0.039017  -0.024755
  0.047080  -0.026973
  0.055859  -0.029120
  0.065340  -0.031190
  0.075508  -0.033176
  0.086348  -0.035075
  0.097842  -0.036881
  0.109971  -0.038590
  0.122718  -0.040197
  0.136061  -0.041700
  0.149979  -0.043094
  0.164451  -0.044378
  0.179453  -0.045547
  0.194962  -0.046600
  0.210954  -0.047535
  0.227403  -0.048350
  0.244282  -0.049045
  0.261566  -0.049619
  0.279227  -0.050072
  0.297237  -0.050403
  0.315568  -0.050614
  0.334190  -0.050705
  0.353075  -0.050679
  0.372192  -0.050536
  0.391511  -0.050279
  0.411001  -0.049910
  0.430632  -0.049434
  0.450373  -0.048852
  0.470192  -0.048168
  0.490059  -0.047388
  0.509941  -0.046514
  0.529808  -0.045551
  0.549627  -0.044505
  0.569368  -0.043381
  0.588999  -0.042184
  0.608489  -0.040919
  0.627808  -0.039593
  0.646925  -0.038212
  0.665810  -0.036781
  0.684432  -0.035308
  0.702763  -0.033799
  0.720773  -0.032259
  0.738434  -0.030697
  0.755718  -0.029118
  0.772597  -0.027530
  0.789046  -0.025938
  0.805038  -0.024351
  0.820547  -0.022773
  0.835549  -0.021213
  0.850021  -0.019676
  0.863939  -0.018168
  0.877282  -0.016697
  0.890029  -0.015267
  0.902158  -0.013885
  0.913652  -0.012557
  0.924492  -0.011287
  0.934660  -0.010081
  0.944141  -0.008944
  0.952920  -0.007880
  0.960983  -0.006894
  0.968317  -0.005990
  0.974910  -0.005170
  0.980752  -0.004439
  0.985835  -0.003800
  0.990149  -0.003255
  0.993688  -0.002805
  0.996446  -0.002454
  0.998419  -0.002202
  0.999605  -0.002051
  1.000000  -0.002000
