"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -2.841672268,       -15.6635999,      -17.14871593,      -6.537363422,      -2.576153282,    -0.03582222539,       4.096850291,               0.5,    0.007724726463,      0.0252554786,                 0,                 0,                 0,     0.02205780105,    0.006838617195,     0.02550968273,                 0,       3.269433386
          0,           0,           1,      -1.017695699,     -0.8433089532,      -1.077066642,      -6.725123833,     -0.8091267238,     -0.7073111677,       3.694022634,               0.5,     0.01786155367,     0.03846175368,                 0,                 0,                 0,     0.03220733307,     0.01650837692,      0.0390616831,                 0,       2.153326323
          0,           0,           2,      -1.391583164,      -1.109635226,      -1.361364694,      -6.470861461,     -0.9439774082,      0.7733056678,       3.370808455,               0.5,     0.02640869159,     0.05294535931,                 0,                 0,                 0,     0.04356245643,     0.02454483757,     0.05383475655,                 0,       2.004845985
          0,           0,           3,      -1.704794275,      -1.309993034,      -1.619541754,      -6.100158316,      -1.550113859,      0.3135683571,       3.028806699,               0.5,     0.03392977961,     0.06889945689,                 0,                 0,                 0,     0.05631498696,     0.03150455391,     0.07004161753,                 0,       2.030648524
          0,           0,           4,      -2.001331969,      -1.497315311,       -1.90914449,      -6.022108498,      -1.603005696,     -0.4846304774,       3.237034422,               0.5,     0.04084375497,     0.08596203898,                 0,                 0,                 0,     0.07026700826,     0.03781884188,     0.08733509984,                 0,       2.104655633
          0,           0,           5,      -2.305234751,      -1.695067747,      -2.237570204,      -5.911427562,      -1.669015479,     -0.7018496061,       3.173098994,               0.5,     0.04734055615,      0.1038282353,                 0,                 0,                 0,     0.08513261658,     0.04368816407,      0.1054171477,                 0,       2.193219593
          0,           0,           6,      -2.575689565,      -1.912250913,      -2.563579641,      -5.786930072,      -1.647069021,     -0.5017357288,       2.871948809,               0.5,     0.05343529187,      0.1222518289,                 0,                 0,                 0,      0.1005774583,     0.04913621283,      0.1240422213,                 0,       2.287848061
          0,           0,           7,      -2.784746513,       -2.15208583,        -2.8362043,      -5.626287535,      -1.507560768,     -0.4504511807,        2.71699819,               0.5,     0.05906065642,      0.1410081701,                 0,                 0,                 0,      0.1162646341,     0.05410356364,      0.1429834591,                 0,       2.387514441
          0,           0,           8,      -3.002425146,      -2.415379492,      -3.069650053,      -5.397806214,      -1.415179839,     -0.2417678465,          2.762841,               0.5,     0.06413056968,      0.1597519888,                 0,                 0,                 0,      0.1318001442,     0.05851623854,       0.161892797,                 0,       2.491042721
          0,           0,           9,      -3.258401956,      -2.701854234,      -3.327601391,      -5.108475861,      -1.251980932,     0.02692171428,       2.869512056,               0.5,      0.0686004016,      0.1780328453,                 0,                 0,                 0,      0.1467606106,     0.06234535482,      0.1803185122,                 0,       2.595215788
