"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          27,      -4.199685853,      -4.101932534,      -3.919116771,      -3.298073299,      0.8059013548,               0.5,      0.5972700592,      0.5167915383,                 0,                 0,                 0,      0.2761314766,      0.5597655861,      0.5571961112,                 0,      0.8652560601
          28,      -4.202943962,      -4.105813606,      -3.921276869,      -3.305868321,      0.7834552225,               0.5,      0.5973968092,      0.5182545048,                 0,                 0,                 0,      0.2769426447,      0.5597899759,      0.5586643557,                 0,      0.8675213808
          29,      -4.206051894,      -4.109477575,       -3.92331279,      -3.313461204,      0.7607004413,               0.5,      0.5974341686,      0.5196139902,                 0,                 0,                 0,      0.2776960239,      0.5597324115,      0.5600231355,                 0,       0.869742672
          30,       -4.20901482,      -4.112940591,      -3.925227975,      -3.320858471,      0.7376624018,               0.5,       0.597396768,      0.5208874954,                 0,                 0,                 0,      0.2784010522,      0.5596062667,      0.5612909295,                 0,      0.8719288809
          31,      -4.211840244,      -4.116219111,      -3.927031194,      -3.328066657,      0.7143666648,               0.5,      0.5972968254,      0.5220894628,                 0,                 0,                 0,      0.2790655551,      0.5594227226,      0.5624829973,                 0,      0.8740871214
          32,      -4.214532494,      -4.119328042,      -3.928730408,      -3.335092268,      0.6908400897,               0.5,      0.5971445656,      0.5232317781,                 0,                 0,                 0,       0.279696008,      0.5591911498,      0.5636119089,                 0,      0.8762229588
          33,      -4.217096331,      -4.122277013,      -3.930327842,      -3.341941666,      0.6671106875,               0.5,       0.596948479,      0.5243241596,                 0,                 0,                 0,      0.2802977377,      0.5589193401,      0.5646879512,                 0,      0.8783407247
          34,       -4.21953691,      -4.125078165,      -3.931832386,      -3.348621202,      0.6432072759,               0.5,      0.5967155835,      0.5253745135,                 0,                 0,                 0,      0.2808751068,       0.558613743,      0.5657195005,                 0,      0.8804437626
          35,      -4.221857723,      -4.127740926,      -3.933249521,      -3.355137215,      0.6191597609,               0.5,      0.5964516477,      0.5263892395,                 0,                 0,                 0,      0.2814316714,      0.5582796664,      0.5667133434,                 0,      0.8825346388
          36,      -4.224062118,       -4.13027214,      -3.934580483,       -3.36149603,      0.5949984595,               0.5,      0.5961613869,      0.5273734903,                 0,                 0,                 0,      0.2819703161,      0.5579214548,       0.567674949,                 0,      0.8846153104
          37,      -4.226153903,      -4.132679115,      -3.935832558,      -3.367703922,      0.5707547828,               0.5,      0.5958486273,      0.5283313936,                 0,                 0,                 0,      0.2824933691,      0.5575426371,       0.568608702,                 0,      0.8866872716
          38,      -4.228136079,      -4.134968595,      -3.937010739,      -3.373767068,      0.5464607684,               0.5,      0.5955164537,      0.5292662369,                 0,                 0,                 0,      0.2830026988,      0.5571460613,      0.5695180968,                 0,      0.8887516602
          39,        -4.2300131,      -4.137145254,      -3.938113707,      -3.379691493,      0.5221544492,               0.5,      0.5951680089,      0.5301809533,                 0,                 0,                 0,      0.2834999805,      0.5567346579,      0.5704062786,                 0,      0.8908088898
          40,      -4.231791803,      -4.139211753,      -3.939145294,      -3.385481096,      0.4978793981,               0.5,      0.5948054237,      0.5310777223,                 0,                 0,                 0,      0.2839864728,      0.5563104005,      0.5712755705,                 0,      0.8928595825
          41,      -4.233476323,       -4.14117308,      -3.940108454,      -3.391141077,        0.47367042,               0.5,      0.5944302228,      0.5319581769,                 0,                 0,                 0,      0.2844631339,      0.5558746962,      0.5721277077,                 0,      0.8949043244
          42,      -4.235069557,      -4.143032162,       -3.94100132,      -3.396677104,      0.4495614204,               0.5,      0.5940436006,       0.532823577,                 0,                 0,                 0,      0.2849307169,      0.5554286485,      0.5729640303,                 0,      0.8969435517
          43,      -4.236574985,      -4.144793701,       -3.94182849,      -3.402094768,      0.4255871682,               0.5,      0.5936464834,      0.5336748763,                 0,                 0,                 0,      0.2853898079,       0.554973115,      0.5737855544,                 0,      0.8989775753
          44,      -4.237995055,      -4.146460327,      -3.942592978,      -3.407399716,      0.4017831375,               0.5,      0.5932395781,      0.5345127792,                 0,                 0,                 0,      0.2858408575,      0.5545087518,       0.574593032,                 0,      0.9010066067
          45,      -4.239331825,      -4.148034182,      -3.943294497,      -3.412597863,      0.3781851857,               0.5,      0.5928234156,      0.5353377882,                 0,                 0,                 0,      0.2862842067,      0.5540360534,      0.5753870012,                 0,      0.9030307745
          46,      -4.240587367,      -4.149516384,      -3.943935256,      -3.417695694,      0.3548350897,               0.5,      0.5923983561,      0.5361502428,                 0,                 0,                 0,      0.2867201074,      0.5535553553,      0.5761678261,                 0,      0.9050501867
          47,      -4.241763644,      -4.150903892,      -3.944518266,      -3.422700683,      0.3317808107,               0.5,      0.5919645792,      0.5369503564,                 0,                 0,                 0,      0.2871487382,       0.553066822,      0.5769357319,                 0,       0.907065009
          48,      -4.242862207,      -4.152201603,      -3.945044803,      -3.427621841,      0.3090460531,               0.5,      0.5915222313,      0.5377382482,                 0,                 0,                 0,      0.2875702279,       0.552570591,      0.5776908478,                 0,      0.9090752972
          49,      -4.243884367,      -4.153412169,       -3.94551376,      -3.432470437,      0.2866579787,               0.5,      0.5910714291,      0.5385139676,                 0,                 0,                 0,       0.287984667,      0.5520667755,      0.5784332312,                 0,       0.911081032
          50,      -4.244831513,      -4.154535305,       -3.94592719,      -3.437260918,        0.26464916,               0.5,      0.5906122406,      0.5392775133,                 0,                 0,                 0,      0.2883921179,      0.5515554433,      0.5791628856,                 0,      0.9130821819
          51,      -4.245704793,      -4.155567905,      -3.946285195,      -3.442012081,      0.2430527134,               0.5,      0.5901446838,      0.5400288493,                 0,                 0,                 0,      0.2887926243,      0.5510366149,      0.5798797763,                 0,      0.9150787326
          52,      -4.246505042,      -4.156507551,      -3.946584495,      -3.446748475,       0.221892489,               0.5,      0.5896687956,      0.5407679359,                 0,                 0,                 0,      0.2891862096,      0.5505103299,      0.5805838662,                 0,      0.9170706333
          53,      -4.247232995,      -4.157348906,      -3.946822162,      -3.451502057,      0.2011951983,               0.5,      0.5891846056,      0.5414947189,                 0,                 0,                 0,       0.289572887,      0.5499766216,      0.5812751035,                 0,      0.9190578195
          54,      -4.247889066,      -4.158083651,      -3.946994864,      -3.456314054,      0.1809867626,               0.5,      0.5886921242,       0.542209139,                 0,                 0,                 0,      0.2899526599,      0.5494355044,      0.5819534294,                 0,       0.921040246
          55,      -4.248473277,      -4.158699745,      -3.947095623,      -3.461236802,      0.1612896039,               0.5,       0.588191345,      0.5429111303,                 0,                 0,                 0,      0.2903255207,      0.5488869767,      0.5826187782,                 0,      0.9230178833
          56,      -4.248985182,      -4.159182034,      -3.947112727,      -3.466334825,      0.1421219788,               0.5,       0.587682246,      0.5436006178,                 0,                 0,                 0,      0.2906914492,      0.5483310215,      0.5832710731,                 0,      0.9249907097
          57,      -4.249423919,      -4.159512507,      -3.947033726,      -3.471685347,      0.1235004948,               0.5,      0.5871647906,       0.544277511,                 0,                 0,                 0,      0.2910504103,       0.547767609,      0.5839102216,                 0,         0.9269587
          58,      -4.249787928,      -4.159667685,      -3.946842563,      -3.477376488,      0.1054358201,               0.5,      0.5866389282,      0.5449416952,                 0,                 0,                 0,      0.2914023527,      0.5471966964,      0.5845361056,                 0,      0.9289218103
          59,      -4.250074583,      -4.159617816,      -3.946516787,       -3.48349986,     0.08793272831,               0.5,       0.586104596,      0.5455930301,                 0,                 0,                 0,      0.2917472083,      0.5466182309,      0.5851485808,                 0,      0.9308799724
          60,      -4.250280365,      -4.159328413,      -3.946026838,       -3.49013278,     0.07099676869,               0.5,      0.5855617181,      0.5462313564,                 0,                 0,                 0,      0.2920848921,      0.5460321481,      0.5857474828,                 0,      0.9328331062
          61,      -4.250400885,      -4.158763044,      -3.945342629,      -3.497319133,     0.05461659563,               0.5,      0.5850102079,      0.5468565035,                 0,                 0,                 0,      0.2924153049,      0.5454383733,      0.5863326357,                 0,      0.9347811305
          62,       -4.25043057,      -4.157871681,      -3.944423064,       -3.50501313,     0.03877415327,               0.5,      0.5844499739,      0.5474682876,                 0,                 0,                 0,       0.292738341,      0.5448368281,      0.5869038496,                 0,      0.9367239492
          63,      -4.250362076,      -4.157252313,      -3.943209172,      -3.512977753,     0.02345518648,               0.5,      0.5838809192,       0.548066521,                 0,                 0,                 0,      0.2930538947,      0.5442274289,      0.5874609305,                 0,      0.9386614684
          64,      -4.250193043,      -4.156330312,       -3.94181702,      -3.520638216,    0.008651261233,               0.5,      0.5833029485,      0.5486510275,                 0,                 0,                 0,      0.2933618656,      0.5436100931,      0.5880036959,                 0,      0.9405936124
          65,      -4.249927137,      -4.150307541,      -3.940099893,      -3.526860522,   -0.005635733259,               0.5,      0.5827159736,      0.5492216564,                 0,                 0,                 0,      0.2936621642,      0.5429847429,      0.5885319895,                 0,       0.942520338
          66,      -4.249464728,      -4.148579645,       -3.93814312,      -3.532170541,    -0.01937864589,               0.5,      0.5821199262,      0.5497782857,                 0,                 0,                 0,      0.2939547191,      0.5423513189,      0.5890456847,                 0,      0.9444416192
          67,      -4.248812405,      -4.148502297,      -3.935963291,      -3.536994755,    -0.03249887729,               0.5,      0.5815147506,      0.5503208348,                 0,                 0,                 0,      0.2942394802,      0.5417097712,      0.5895446973,                 0,      0.9463574814
          68,      -4.248024682,      -4.147247807,      -3.933408224,       -3.54071407,    -0.04483496593,               0.5,      0.5809004052,      0.5508492678,                 0,                 0,                 0,      0.2945164222,      0.5410600607,      0.5900289886,                 0,      0.9482680042
          69,      -4.247094397,      -4.145165639,      -3.930440848,      -3.542903376,    -0.05609416286,               0.5,      0.5802768658,      0.5513635994,                 0,                 0,                 0,      0.2947855461,      0.5404021622,      0.5904985713,                 0,      0.9501733257
          70,      -4.245996246,      -4.141735469,      -3.926932066,      -3.542994552,    -0.06580154246,               0.5,      0.5796441268,      0.5518638923,                 0,                 0,                 0,      0.2950468801,      0.5397360659,      0.5909535079,                 0,      0.9520736375
