"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          23,     -0.4365191971,     -0.7803306889,     -0.8146721717,      -6.303773317,      -2.199607898,     -0.4502383629,       2.750682065,               0.5,      0.1414688274,      0.1070513216,                 0,                 0,                 0,     0.02684359395,      0.1336566941,       0.116658916,                 0,      0.7567131472
          24,     -0.4379710532,     -0.7783605371,     -0.7984929286,      -6.302965959,      -2.200470511,     -0.4527605753,        2.74368019,               0.5,      0.1480231667,      0.1122172806,                 0,                 0,                 0,     0.02811827432,      0.1398347084,      0.1222694986,                 0,      0.7581062011
          25,     -0.4392474242,      -0.775846506,      -0.783312991,      -6.302284005,      -2.201606742,     -0.4554672958,       2.739285816,               0.5,       0.154657741,      0.1174560446,                 0,                 0,                 0,     0.02940855777,      0.1460876835,      0.1279583057,                 0,      0.7594579089
          26,      -0.440335395,     -0.7727284638,     -0.7699033991,      -6.301652798,      -2.202841109,     -0.4581955955,       2.730500394,               0.5,      0.1613787443,      0.1227692111,                 0,                 0,                 0,     0.03071501051,       0.152421687,       0.133727363,                 0,      0.7607520534
          27,     -0.4412602111,     -0.7690816899,     -0.7580761269,       -6.30102214,      -2.204062093,     -0.4609008291,       2.726140156,               0.5,      0.1681910662,      0.1281584292,                 0,                 0,                 0,     0.03203817368,      0.1588414816,      0.1395786568,                 0,      0.7619811927
          28,     -0.4420611704,     -0.7649635721,     -0.7476419565,      -6.300328995,      -2.205124065,      -0.463591977,       2.720738306,               0.5,      0.1750991979,      0.1336255585,                 0,                 0,                 0,     0.03337863632,      0.1653514179,      0.1455143553,                 0,      0.7631420363
          29,     -0.4427538155,     -0.7605187308,     -0.7377733741,      -6.299607888,      -2.206120245,     -0.4662180552,       2.712646571,               0.5,      0.1821050857,      0.1391720348,                 0,                 0,                 0,     0.03473664904,       0.171953337,      0.1515360267,                 0,      0.7642402422
          30,     -0.4433702015,     -0.7558240504,     -0.7282645284,      -6.298876872,      -2.207095154,     -0.4687884489,       2.706046113,               0.5,      0.1892102392,      0.1447993797,                 0,                 0,                 0,     0.03611251286,       0.178648639,      0.1576452941,                 0,      0.7652830013
          31,     -0.4439413862,     -0.7509486613,     -0.7189677917,      -6.298150281,       -2.20808046,     -0.4713102379,       2.700295106,               0.5,      0.1964159139,      0.1505091381,                 0,                 0,                 0,     0.03750653331,      0.1854384685,      0.1638437862,                 0,       0.766277717
          32,     -0.4444902495,     -0.7459490563,     -0.7097875892,      -6.297430116,      -2.209076877,     -0.4737868838,       2.699030975,               0.5,      0.2037232404,      0.1563029642,                 0,                 0,                 0,     0.03891909467,      0.1923238378,      0.1701332322,                 0,      0.7672318776
          33,     -0.4450465353,     -0.7408633715,     -0.7006527591,      -6.296714029,      -2.210071162,     -0.4762221592,       2.699956244,               0.5,      0.2111331973,      0.1621824678,                 0,                 0,                 0,      0.0403505379,       0.199305611,      0.1765153061,                 0,      0.7681523792
          34,     -0.4456503958,      -0.735707039,     -0.6915264851,      -6.295977462,        -2.2109777,     -0.4786360922,        2.70822107,               0.5,      0.2186465804,      0.1681493384,                 0,                 0,                 0,     0.04180123853,      0.2063844641,      0.1829917488,                 0,      0.7690462759
          35,     -0.4463602529,     -0.7305411739,     -0.6823970483,      -6.295206306,      -2.211764881,     -0.4810256893,       2.710417204,               0.5,      0.2262635323,      0.1742053412,                 0,                 0,                 0,     0.04327159329,      0.2135604161,      0.1895643311,                 0,      0.7699223086
          36,     -0.4471733429,     -0.7253855749,     -0.6734993096,      -6.294416453,      -2.212493196,     -0.4833676261,       2.707802678,               0.5,      0.2339838094,      0.1803516641,                 0,                 0,                 0,     0.04476156691,      0.2208331413,      0.1962342211,                 0,      0.7707869383
          37,     -0.4480588932,     -0.7202369929,     -0.6649814448,      -6.293732694,      -2.213452421,     -0.4857137699,       2.700534956,               0.5,      0.2418077329,      0.1865892724,                 0,                 0,                 0,     0.04627098532,      0.2282028925,      0.2030024043,                 0,      0.7716431158
          38,     -0.4489834338,     -0.7150222591,     -0.6568697894,      -6.293102692,       -2.21452122,     -0.4880411185,       2.699209905,               0.5,      0.2497360378,      0.1929192113,                 0,                 0,                 0,     0.04779973437,      0.2356703302,      0.2098699743,                 0,      0.7724924805
          39,     -0.4499253137,     -0.7097226826,      -0.649160302,      -6.292516825,      -2.215677325,     -0.4903448006,       2.688498316,               0.5,      0.2577696751,      0.1993425883,                 0,                 0,                 0,     0.04934777377,      0.2432363259,      0.2168381025,                 0,      0.7733360732
          40,     -0.4508713963,     -0.7043141535,     -0.6418330481,      -6.291972598,      -2.216915187,     -0.4926228194,       2.678824984,               0.5,      0.2659097014,      0.2058603957,                 0,                 0,                 0,     0.05091499829,      0.2509018643,      0.2239078523,                 0,      0.7741740698
          41,      -0.451816086,     -0.6988116388,       -0.63482876,      -6.291459458,      -2.218209419,     -0.4948736603,       2.669399946,               0.5,      0.2741573121,       0.212473783,                 0,                 0,                 0,     0.05250138474,      0.2586680577,      0.2310804539,                 0,      0.7750068067
          42,     -0.4527560655,     -0.6932060502,      -0.628072579,      -6.290957366,      -2.219510615,     -0.4970985074,       2.664710539,               0.5,      0.2825138545,      0.2191838785,                 0,                 0,                 0,     0.05410690264,      0.2665361714,      0.2383571269,                 0,      0.7758340874
          43,     -0.4536891678,     -0.6875219645,     -0.6215545168,      -6.290464428,      -2.220816975,     -0.4992861295,        2.65072564,               0.5,      0.2909804309,      0.2259916403,                 0,                 0,                 0,     0.05573145658,      0.2745072382,      0.2457389038,                 0,      0.7766558033
          44,     -0.4546136816,     -0.6817673246,     -0.6152769628,      -6.289976457,      -2.222119374,      -0.501437465,       2.641908881,               0.5,      0.2995581583,      0.2328980298,                 0,                 0,                 0,     0.05737491497,      0.2825823053,      0.2532268217,                 0,       0.777471831
          45,     -0.4555309376,     -0.6759468734,     -0.6092213417,      -6.289492164,      -2.223415778,     -0.5035556791,       2.624295072,               0.5,      0.3082482637,      0.2399042428,                 0,                 0,                 0,     0.05903738231,      0.2907625134,       0.260822159,                 0,       0.778282544
          46,     -0.4564359824,     -0.6700714957,     -0.6033643966,      -6.289010685,      -2.224704113,     -0.5056352721,        2.61319042,               0.5,      0.3170521006,      0.2470113666,                 0,                 0,                 0,     0.06071893894,      0.2990491367,      0.2685260948,                 0,      0.7790876203
          47,     -0.4573253738,     -0.6641433245,     -0.5977222599,      -6.288532928,      -2.225986448,     -0.5076803737,       2.604973888,               0.5,      0.3259710872,      0.2542202973,                 0,                 0,                 0,     0.06241945643,      0.3074435276,      0.2763396219,                 0,      0.7798860306
          48,     -0.4581976728,     -0.6581726096,     -0.5922773302,      -6.288061259,      -2.227268353,     -0.5096958056,       2.590946879,               0.5,      0.3350067253,      0.2615318683,                 0,                 0,                 0,     0.06413883068,      0.3159471259,      0.2842636765,                 0,      0.7806764717
          49,     -0.4590515429,     -0.6521584536,     -0.5870306967,      -6.287599178,      -2.228558478,     -0.5116793126,         2.5821944,               0.5,      0.3441605594,      0.2689469164,                 0,                 0,                 0,     0.06587696636,      0.3245614142,      0.2922992011,                 0,       0.781457692
          50,      -0.459885606,     -0.6461140719,     -0.5819772627,      -6.287158034,       -2.22988397,     -0.5136436326,       2.573472531,               0.5,      0.3534341482,      0.2764662607,                 0,                 0,                 0,     0.06763378418,      0.3332878901,      0.3004471214,                 0,      0.7822284917
          51,     -0.4607010005,     -0.6400336272,     -0.5771056825,      -6.286729985,      -2.231226442,     -0.5155829652,       2.565956858,               0.5,      0.3628290602,       0.284090773,                 0,                 0,                 0,     0.06940927343,      0.3421280575,      0.3087084167,                 0,      0.7829879249
